index,Image_name,specimen,species,source_dataset,title,date,specimenId,sex,abdomenStatus,morphSpecies,morphSex,morphAbdomenStatus,morphNotes,country,district,site,speciesArray,speciesScore,abdomenArray,abdomenScore,abdomen2Array,abdomen2Score,sexArray,sexScore,speciesModel,sexModel,abdomenStatusModel,abdomenStatus2Model,appVersion,yolovCoordinates,fullImage,image,yolovConfidenceLevel,imageZoomed,status,latitude,longitude,cityName,deviceInUse,phoneInUse,deviceId,localId,collectionMethod,createdAt,hardware,isCompleted,name,notes,updatedAt,specimenIdDup,image_exists
23,LIRA01&&07-01-2023&&KL024_02.jpg,LIRA01&&07-01-2023&&KL024,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
25,LIRA01&&07-01-2023&&KL018.jpg,LIRA01&&07-01-2023&&KL018,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
27,LIRA01&&07-01-2023&&KL028_02.jpg,LIRA01&&07-01-2023&&KL028,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
28,LIRA01&&07-01-2023&&KL032.jpg,LIRA01&&07-01-2023&&KL032,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
29,GULU02&&06-01-2023&&KG014_02.jpg,GULU02&&06-01-2023&&KG014,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
30,GULU02&&06-01-2023&&KG014.jpg,GULU02&&06-01-2023&&KG014,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
31,GULU02&&06-01-2023&&KG015.jpg,GULU02&&06-01-2023&&KG015,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
32,GULU02&&06-01-2023&&KG015_01.jpg,GULU02&&06-01-2023&&KG015,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
33,GULU02&&06-01-2023&&KG016_01.jpg,GULU02&&06-01-2023&&KG016,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
34,GULU02&&06-01-2023&&KG016_02.jpg,GULU02&&06-01-2023&&KG016,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
35,GULU02&&06-01-2023&&KG015_02.jpg,GULU02&&06-01-2023&&KG015,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
36,GULU02&&06-01-2023&&KG016.jpg,GULU02&&06-01-2023&&KG016,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
38,GULU02&&06-01-2023&&KG014_01.jpg,GULU02&&06-01-2023&&KG014,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
41,GULU02&&06-01-2023&&KG019_02.jpg,GULU02&&06-01-2023&&KG019,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
44,GULU02&&06-01-2023&&KG018_01.jpg,GULU02&&06-01-2023&&KG018,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
46,GULU02&&06-01-2023&&KG021_02.jpg,GULU02&&06-01-2023&&KG021,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
50,GULU02&&06-01-2023&&JA032_02.jpg,GULU02&&06-01-2023&&JA032,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
51,GULU02&&06-01-2023&&JA033_02.jpg,GULU02&&06-01-2023&&JA033,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
54,GULU02&&06-01-2023&&JA035.jpg,GULU02&&06-01-2023&&JA035,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
55,GULU02&&06-01-2023&&JA033_01.jpg,GULU02&&06-01-2023&&JA033,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
57,GULU02&&06-01-2023&&JA035_01.jpg,GULU02&&06-01-2023&&JA035,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
58,GULU02&&06-01-2023&&JA036.jpg,GULU02&&06-01-2023&&JA036,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
59,GULU02&&06-01-2023&&JA035_02.jpg,GULU02&&06-01-2023&&JA035,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
60,GULU02&&06-01-2023&&JA036_01.jpg,GULU02&&06-01-2023&&JA036,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
61,GULU02&&06-01-2023&&JA036_02.jpg,GULU02&&06-01-2023&&JA036,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
62,GULU02&&06-01-2023&&JA037.jpg,GULU02&&06-01-2023&&JA037,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
63,GULU02&&06-01-2023&&JA037_01.jpg,GULU02&&06-01-2023&&JA037,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
64,GULU02&&06-01-2023&&JA037_02.jpg,GULU02&&06-01-2023&&JA037,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
65,GULU02&&06-01-2023&&JA038.jpg,GULU02&&06-01-2023&&JA038,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
66,GULU02&&06-01-2023&&JA038_02.jpg,GULU02&&06-01-2023&&JA038,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
68,GULU02&&06-01-2023&&JA038_01.jpg,GULU02&&06-01-2023&&JA038,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
71,GULU02&&06-01-2023&&JA040.jpg,GULU02&&06-01-2023&&JA040,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
72,GULU02&&06-01-2023&&JA040_01.jpg,GULU02&&06-01-2023&&JA040,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
73,GULU02&&06-01-2023&&JA041_02.jpg,GULU02&&06-01-2023&&JA041,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
74,GULU02&&06-01-2023&&JA041.jpg,GULU02&&06-01-2023&&JA041,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
75,GULU02&&06-01-2023&&JA040_02.jpg,GULU02&&06-01-2023&&JA040,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
76,GULU02&&06-01-2023&&JA041_01.jpg,GULU02&&06-01-2023&&JA041,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
80,Gulu01&&05-01-2023&&KG002_01.jpg,Gulu01&&05-01-2023&&KG002,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
81,Gulu01&&05-01-2023&&KG001.jpg,Gulu01&&05-01-2023&&KG001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
82,Gulu01&&05-01-2023&&KG002.jpg,Gulu01&&05-01-2023&&KG002,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
83,Gulu01&&05-01-2023&&KG001_02.jpg,Gulu01&&05-01-2023&&KG001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
84,Gulu01&&05-01-2023&&KG001_01.jpg,Gulu01&&05-01-2023&&KG001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
85,Gulu01&&05-01-2023&&KG002_03.jpg,Gulu01&&05-01-2023&&KG002,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
86,Gulu01&&05-01-2023&&KG002_05.jpg,Gulu01&&05-01-2023&&KG002,1,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
87,Gulu01&&05-01-2023&&KG002_04.jpg,Gulu01&&05-01-2023&&KG002,1,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
88,Gulu01&&05-01-2023&&KG002_02.jpg,Gulu01&&05-01-2023&&KG002,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
93,Gulu01&&05-01-2023&&KG004_02.jpg,Gulu01&&05-01-2023&&KG004,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
94,Gulu01&&05-01-2023&&KG004_01.jpg,Gulu01&&05-01-2023&&KG004,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
95,Gulu01&&05-01-2023&&KG004.jpg,Gulu01&&05-01-2023&&KG004,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
96,Gulu01&&05-01-2023&&KG005.jpg,Gulu01&&05-01-2023&&KG005,4,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
97,Gulu01&&05-01-2023&&KG005_01.jpg,Gulu01&&05-01-2023&&KG005,4,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
98,Lira-01&&07-01-2023&&JAL004.jpg,Lira-01&&07-01-2023&&JAL004,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
99,Lira-01&&07-01-2023&&JAL002_02.jpg,Lira-01&&07-01-2023&&JAL002,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
100,Lira-01&&07-01-2023&&JAL003_02.jpg,Lira-01&&07-01-2023&&JAL003,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
101,Lira-01&&07-01-2023&&JAL003_01.jpg,Lira-01&&07-01-2023&&JAL003,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
104,LIRA01&&07-01-2023&&KL005.jpg,LIRA01&&07-01-2023&&KL005,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
105,LIRA01&&07-01-2023&&KL006.jpg,LIRA01&&07-01-2023&&KL006,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
106,LIRA01&&07-01-2023&&KL009.jpg,LIRA01&&07-01-2023&&KL009,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
107,LIRA01&&07-01-2023&&KL008.jpg,LIRA01&&07-01-2023&&KL008,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
109,LIRA01&&07-01-2023&&KL008_02.jpg,LIRA01&&07-01-2023&&KL008,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
110,LIRA01&&07-01-2023&&KL012.jpg,LIRA01&&07-01-2023&&KL012,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
113,lira&&07-01-2023&&DL001_02.jpg,lira&&07-01-2023&&DL001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
114,lira&&07-01-2023&&DL001_01.jpg,lira&&07-01-2023&&DL001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
116,lira&&07-01-2023&&DL004.jpg,lira&&07-01-2023&&DL004,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
117,lira&&07-01-2023&&DL001.jpg,lira&&07-01-2023&&DL001,1,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
119,LIRA01&&07-01-2023&&KL031.jpg,LIRA01&&07-01-2023&&KL031,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
120,LIRA01&&07-01-2023&&KL030_01.jpg,LIRA01&&07-01-2023&&KL030,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
121,LIRA01&&07-01-2023&&KL030_02.jpg,LIRA01&&07-01-2023&&KL030,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
122,LIRA01&&07-01-2023&&KL033_01.jpg,LIRA01&&07-01-2023&&KL033,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
123,LIRA01&&07-01-2023&&KL033.jpg,LIRA01&&07-01-2023&&KL033,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
124,LIRA01&&07-01-2023&&KL001_01.jpg,LIRA01&&07-01-2023&&KL001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
125,LIRA01&&07-01-2023&&KL002.jpg,LIRA01&&07-01-2023&&KL002,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
126,LIRA01&&07-01-2023&&KL005_02.jpg,LIRA01&&07-01-2023&&KL005,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
127,lira-03&&07-01-2023&&DL001.jpg,lira-03&&07-01-2023&&DL001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
128,lira&&07-01-2023&&DL014_01.jpg,lira&&07-01-2023&&DL014,4,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
129,lira&&07-01-2023&&DL005.jpg,lira&&07-01-2023&&DL005,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
130,lira&&07-01-2023&&DL011_02.jpg,lira&&07-01-2023&&DL011,4,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
131,lira&&07-01-2023&&DL010_02.jpg,lira&&07-01-2023&&DL010,4,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
132,lira&&07-01-2023&&DL012.jpg,lira&&07-01-2023&&DL012,4,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
133,lira&&07-01-2023&&DL013.jpg,lira&&07-01-2023&&DL013,4,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
134,lira&&07-01-2023&&DL015_02.jpg,lira&&07-01-2023&&DL015,1,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
135,lira&&07-01-2023&&DL016_01.jpg,lira&&07-01-2023&&DL016,1,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
136,lira&&07-01-2023&&DL017.jpg,lira&&07-01-2023&&DL017,1,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
137,lira&&07-01-2023&&DL018_02.jpg,lira&&07-01-2023&&DL018,1,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
138,lira&&07-01-2023&&DL018.jpg,lira&&07-01-2023&&DL018,1,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
139,lira&&07-01-2023&&DL018_01.jpg,lira&&07-01-2023&&DL018,1,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
140,lira&&07-01-2023&&DL019_02.jpg,lira&&07-01-2023&&DL019,1,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
141,Lira01KD-01&&08-01-2023&&LK002TO_01.jpg,Lira01KD-01&&08-01-2023&&LK002TO,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
142,Lira01KD-01&&08-01-2023&&LK001TO_01.jpg,Lira01KD-01&&08-01-2023&&LK001TO,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
143,Lira01KD-01&&08-01-2023&&LK001TO.jpg,Lira01KD-01&&08-01-2023&&LK001TO,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
144,Lira01KD-01&&08-01-2023&&LK002TO.jpg,Lira01KD-01&&08-01-2023&&LK002TO,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
145,Lira01KD-01&&08-01-2023&&LK001.jpg,Lira01KD-01&&08-01-2023&&LK001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
146,Lira01KD-01&&08-01-2023&&LK002TO_02.jpg,Lira01KD-01&&08-01-2023&&LK002TO,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
151,Lira01KS-02&&08-01-2023&&KSL001_01.jpg,Lira01KS-02&&08-01-2023&&KSL001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
152,Lira01KS-02&&08-01-2023&&KSL001_02.jpg,Lira01KS-02&&08-01-2023&&KSL001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
153,Lira01KS-02&&08-01-2023&&KSL001.jpg,Lira01KS-02&&08-01-2023&&KSL001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
154,Lira01KS-02&&08-01-2023&&KSL002.jpg,Lira01KS-02&&08-01-2023&&KSL002,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
156,Lira01KS-02&&08-01-2023&&KSL002_02.jpg,Lira01KS-02&&08-01-2023&&KSL002,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
157,Lira01KS-02&&08-01-2023&&KSL002_01.jpg,Lira01KS-02&&08-01-2023&&KSL002,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
158,Lira01KS-02&&08-01-2023&&KSL003.jpg,Lira01KS-02&&08-01-2023&&KSL003,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
159,Lira01KS-02&&08-01-2023&&KSL003_01.jpg,Lira01KS-02&&08-01-2023&&KSL003,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
160,Lira01KS-02&&08-01-2023&&KSL003_02.jpg,Lira01KS-02&&08-01-2023&&KSL003,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
161,Lira01KS-02&&08-01-2023&&KSL004.jpg,Lira01KS-02&&08-01-2023&&KSL004,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
162,Lira01KS-02&&08-01-2023&&KSL004_01.jpg,Lira01KS-02&&08-01-2023&&KSL004,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
163,Lira01KS-02&&08-01-2023&&KSL004_02.jpg,Lira01KS-02&&08-01-2023&&KSL004,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
164,Lira01KS-02&&08-01-2023&&KSL005.jpg,Lira01KS-02&&08-01-2023&&KSL005,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
165,Lira01KS-02&&08-01-2023&&KSL005_01.jpg,Lira01KS-02&&08-01-2023&&KSL005,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
166,Lira01KS-02&&08-01-2023&&KSL005_02.jpg,Lira01KS-02&&08-01-2023&&KSL005,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
167,LIRA01KS-02&&08-01-2023&&KSL007.jpg,LIRA01KS-02&&08-01-2023&&KSL007,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
168,LIRA01KS-02&&08-01-2023&&KSL007_01.jpg,LIRA01KS-02&&08-01-2023&&KSL007,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
172,LIRA01KS-02&&08-01-2023&&KSL008.jpg,LIRA01KS-02&&08-01-2023&&KSL008,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
173,LIRA01KS-02&&08-01-2023&&KSL007_02.jpg,LIRA01KS-02&&08-01-2023&&KSL007,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
174,LIRA01KS-02&&08-01-2023&&KSL008_01.jpg,LIRA01KS-02&&08-01-2023&&KSL008,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
